title,cleaned_description,cluster,topic
Israel Hamas War Update | 35 Killed In Israeli Strike On Rafah Camp For Displaced People,"Hamas Attacks Israel: Hamas launched rockets at Tel Aviv on Sunday, prompting sirens to sound in the Israeli city for the first time in several months. Meanwhile, the Ministry of Health in Gaza has said that at least 35 Palestinians were killed and dozens more were injured as a result of Israeli air attacks on a camp in Rafah for displaced people.             ",22,hamas israel israeli killed rafah
"Lok Sabha Elections 2024 | Amit Shah, Priyanka Gandhi Vadra's Poll Blitz In Chandigarh","Ahead of the last phase of elections in this Lok Sabha contest, its yet another battle of rallies with Home Minister Amit Shah holding a rally in Ludhiana while Congress general Secretary Priyanka Gandhi Vadra is campaigning in Chandigarh. While the Congress and AAP don't have an alliance in Punjab, the Congress sent in star campaigners as they hope to secure a win in key seats in the state.                   ",23,amit congress priyanka shah vadra
"Lok Sabha Elections 2024 | ""400 Paar Not Just A Campaign Slogan, But..."": Rajnath Singh To NDTV",Defence Minister Rajnath Singh has expressed confidence the BJP and its allies will win over 400 seats in the Lok Sabha this time.  Mr Singh's comment comes on a day people voted in the sixth of the seven-phase elections. The last round of voting will be held on June 1.  Watch the full interview: https://youtu.be/Wl_osZpGCTQ                     ,24,400 lok rajnath sabha singh
"Lok Sabha Elections 2024 | Urban Voter Apathy In Prayagraj, Watch This 95-Year-Old Voter’s Advice","Lok Sabha Elections 2024 | Despite blistering heat, a 95-year-old woman was seen casting voting in Uttar Pradesh's Prayagraj. She shared her advice for young voters and expressed her feelings on casting her vote.                      ",25,2024 95 advice prayagraj sabha
Mehbooba Mufti News | Mehbooba Mufti Holds Sit-in Protest: “Police Detained PDP Polling Agents…”,"Voting for the sixth phase of the Lok Sabha Elections 2024 is underway on May 25. Meanwhile, JKPDF chief Mehbooba Mufti staged a protest in J&K’s Anantnag. She demonstrated against the alleged detention of JKPDP polling agents, and workers by police. Notably, Mehbooba Mufti is contesting from the Anantnag-Rajouri Lok Sabha constituency. Voting across 8 states/union territories is underway for the 6th phase of Lok Sabha Elections 2024.                    ",26,lok mehbooba mufti sabha underway
Voting Percentage News | Lok Sabha Elections 2024 LIVE: 10.8% Voter Turnout Recorded Till 9 AM,"Lok Sabha Elections 2024 Phase 6: Voting is taking place in 58 seats across seven states and one Union Territory in the sixth and penultimate phase of the Lok Sabha election today. Delhi and Haryana are voting in a single phase. For the seventh and last phase, 57 seats will be left.                 ",27,elections lok phase sabha voting
"Lok Sabha Elections 2024 Phase 6 | ""Feeling Very Positive"": BJP's Manoj Tiwari As Delhi Votes Today",Lok Sabha Polls 2024 Phase 6: BJP leader Manoj Tiwari voted in Delhi today for the sixth phase of Lok Sabha elections. The 2-time MP takes on Congress's firebrand leader Kanhaiya Kumar in North East Delhi Lok Sabha constituency. NDTV's Aishvarya Jain speaks exclusively with the BJP leader.                    ,28,bjp delhi lok phase sabha
"Pune Accident News | ""Father Told Driver To Take Blame, Offered Cash"": Cops On Porsche Crash","Pune Police Commissioner Amitesh Kumar today said that there is an attempt being made to frame a driver instead of the 17-year-old teen accused of running over two people while overspeeding a Porsche. He also said that soon after the crash, an attempt was made to switch drivers after the crash so that the minor wouldn't land in trouble.                ",29,attempt crash porsche pune said
Lok Sabha Elections 2024 | The Intense Battle For Delhi Lok Sabha Polls: Will BJP Score A Hat-Trick?,"Delhi is battle-ready. The capital of India will vote on May 25. The campaign ended today and this battle is critical - it will cement PM Modi's popularity in the national capital that has voted overwhelmingly for the BJP not just in 2014 but also in 2019 but repeatedly chose AAP in the assembly seats. Delhi has seen great upsets such as the electoral defeats of leaders such as Manmohan Singh and Sheila Dixit, and LK Advani managing a lackluster win. Delhi has also saluted the rising sun, almost always, voting for the party that eventually formed the government at the Centre. PM Modi addressed two rallies in northeast Delhi and southwest Delhi. Arvind Kejriwal has been addressing roadshows and rallies too. He is out on interim bail. AAP is dealing with corruption charges and allegations made by Swati Malliwal. In all of this, how is the battle of Delhi shaping up?  ",30,aap battle delhi lok pm
"Nandigram Violence | Days Before Polling, Killing Of 'BJP Worker' Sparks Slugfest In West Bengal","Days before the sixth phase of polling, a woman has been killed after some bike-borne men opened fire at her house in Nandigram, which comes under the Tamluk Lok Sabha constituency in West Bengal. The BJP has claimed that the woman, who was killed last night, was its worker and the area has seen protests by the party as well as sporadic violence today.  Rathibara Ari, a resident of Nandigram's Sonachura area, was killed last night when some unidentified men on motorcycles fired at her house. Several other people were injured and at least seven are undergoing treatment at a hospital.   Angry BJP workers staged a protest in Nandigram today and some miscreants also set a few shops ablaze.        ",31,bjp killed nandigram today woman
