title,cleaned_description,cluster,topic
AstraZeneca Latest News | Man Whose Daughter Died Due To Vaccine Side-Effect Speaks With NDTV,Global pharma giant AstraZeneca has admitted that its COVID-19 vaccine developed by researchers from the Oxford University and manufactured by the Serum Institute of India can cause a rare side effect of blood clotting and low platelet count. Venugopalan Govindan - a father who lost his daughter to a side-effect of the vaccine joined us on the latest episode of We The People and shared his ordeal. He is now a petitioner against Covishield-maker SII.           ,129,astrazeneca daughter effect latest vaccine
Poonch Attack | CS Channi On Terror Attack That Killed Air Force Jawan: 'Pre-Poll Stunt',"The terror attack in Jammu and Kashmir's Poonch, in which a soldier of the Indian Air Force has died, has become grist to the political mill amid the massive seven-phase election across the country. Two leaders of the Opposition, former Punjab Chief Minister Charanjit Singh Channi and Rashtriya Janata Dal's Tej Pratap Yadav, have drawn a parallel with the Pulwama attack of 2019 in which 40 CRPF (Central Reserve Police Force) men died, and alleged that Saturday's attack was also a ""stunt"" to help the BJP win.           ",130,air attack force stunt terror
"Lok Sabha Elections 2024 | Arvind Kejriwal's Wife To Delhi Voters: ""Jail Ka Jawab Vote Se""","Delhi Chief Minister Arvind Kejriwal's wife Sunita Kejriwal addressed a roadshow in Delhi today. ""Your Chief Minister and my husband Arvind Kejriwal have been imprisoned illegally for 1.5 months, if the investigation goes on for 10 years, will he be kept in jail for 10 years?"" she said.  ""Even Arvind Kejriwal's insulin was stopped and his life was put in danger, hence on May 25 you all have to go to vote and answer the BJP's dictatorship by 'Jail Ka Jawab Vote Se',"" she said.           ",131,arvind delhi jail kejriwal vote
Al Jazeera Israel Ban | Israel Cabinet Votes To Shut Down Al Jazeera Over National Security Threats,"Prime Minister Benjamin Netanyahu's cabinet decided on Sunday to shut down Al Jazeera's operations in Israel for as long as the war in Gaza continues, on the grounds the Qatari television network threatens national security.  ""The incitement channel Al Jazeera will be closed in Israel,"" Netanyahu posted on social media following the unanimous cabinet vote.  A government statement said Israel's communications minister signed orders to ""act immediately,"" but at least one lawmaker who supported the closure said Al Jazeera could still try to block it in court.            ",132,al cabinet israel jazeera minister
Sandeshkhali Row | BJP vs Trinamool Over Sandeshkhali 'Sting Video',"The Sandeshkhali issue, which is one of the biggest talking points in the ongoing Lok Sabha polls because of the BJP's incessant attacks on the Trinamool Congress, saw a big twist on Saturday when a video surfaced purportedly showing a BJP leader in the village admitting that no rapes or sexual harassment had taken place and women were convinced to file such complaints at the directions of senior party leader Suvendu Adhikari.            ",133,bjp leader sandeshkhali trinamool video
"HD Revanna News | Karnataka MLA HD Revanna, Accused Of Kidnapping Woman, Taken Into Custody",Karnataka JD(S) MLA HD Revanna has been taken into custody by the Special Investigation Team that's looking into kidnapping allegations by a woman; it is also probing rape allegations against his son Prajwal Revanna in the obscene videos case.        ,134,allegations custody hd revanna woman
"Sucharita Mohanty | Congress's Puri Candidate Drops Out, Cites Lack Of Funds","The Congress today lost its third Lok Sabha candidate, just days before voting on the seat. Sucharita Mohanty, the party's candidate dropped out citing lack of funds.  ""It is clear that only a fund crunch is holding us back from a winning campaign in Puri. I regret that without party funding, it won't be possible to carry out the campaign in Puri. I, therefore, return the INC ticket for the Puri Parliamentary Constituency herewith,"" Ms Puri wrote in a letter to Congress chief Mallikarjun Kharge.              ",135,campaign candidate congress puri sucharita
#NDTV18KaVote Filter Now Live On Instagram,"Just voted? Go to Insta, take a selfie, choose the  filter and upload! Let the world know you've made a choice.      ",136,choice choose filter insta instagram
Hardeep Singh Nijjar News | Canada Arrests 3 Indians In Khalistani Terrorist Murder,Canadian Police on Friday said they have arrested three Indians they suspect were part of the alleged hit squad that had killed Khalistani terrorist Hardeep Singh Nijjar last year.            ,137,hardeep indians khalistani nijjar singh
Ravi Kishan On Poll Curry with Kunal Vijayakar,Celebrity food anchor Kunal Vijayakar meets & eats with faces that define the political flavour of our young nation in this new series.         ,138,kunal poll ravi series vijayakar
"Rohith Vemula Case | Cops Close Rohith Vemula Report, Clean Chit To All Accused","Eight years after massive protests and a political controversy erupted over his death by suicide, forcing the Modi government to clarify that it was not anti-Dalit, the Telangana Police has filed a closure report in the Rohith Vemula case. In the report, the police have not only said that the University of Hyderabad student was not from the Scheduled Castes and his certificate was forged but also that he died by suicide because he feared being exposed.       ",139,police report rohith suicide vemula
Smriti Irani Reacts To Gandhis Giving Up Amethi | NDTV Exclusive,"Union Minister Smriti Irani spoke to NDTV and reacted to Rahul Gandhi filing nomination from Rae Bareli in Uttar Pradesh and said, ""I have already created history in 2019 by defeating the Congress president and the then sitting MP. It was the first time that ever happened in Indian democracy...If he had been so confident about winning Rae Bareli, then he would not have fought from Wayanad."" ""You give him too much importance,"" Mr Irani said on whether she wanted Mr Gandhi to contest from Amethi.       ",140,gandhi irani ndtv rae said
"Southern View Recaps Poll Journey: 39 Leaders, 19 Constituencies, 4 States, 7,400 kilometers",We recap the fascinating election journey of the Southern View team over the last 30 days as we head back to Bengaluru.      ,141,journey recaps southern states view
YS Sharmila vs Cousin Avinash Reddy In Andhra Pradesh's Cuddappah,"The southern view election special travels to the sweltering hot Cuddappah Lok sabha seat in the Rayalseema region of Andhra Pradesh where Congress's YS Sharmila, the sister of YSRCP chief Jagan Reddy is taking on her cousin and incumbent YSRCP MP YS Avinash Reddy.      ",142,cuddappah pradesh reddy sharmila ys
"Rahul Gandhi Files Nomination | Rahul Gandhi To Contest From Raebareli, No Gandhi From Amethi","The Congress's 11th-hour, early-morning decision on Amethi and Raebareli contained a big twist. Rahul Gandhi, who was expected to make an all-out bid to win back Amethi, has been announced as the party candidate from Raebareli, the seat vacated recently by his mother Sonia Gandhi when she moved to Rajya Sabha. In Amethi, the family bastion which defected to the BJP five years ago, the Congress will be represented by Kishori Lal Sharma, a longtime loyalist of the Gandhi family. Priyanka Gandhi Vadra could not be convinced to contest from Raebareli -- which she had nursed for over a decade on her mother's behalf.              ",143,amethi contest gandhi raebareli rahul
"PM Modi Attacks Rahul Gandhi | PM Jabs Rahul Gandhi On Raebareli Nomination: ""Daro Mat, Bhaago Mat""","PM Modi West Bengal | Shortly after the Congress announced Rahul Gandhi's switch from Amethi, where he lost the 2019 election, to his mother Sonia Gandhi's Raebareli seat, BJP leaders seized the chance to deride the Congress and the Gandhis.  Several BJP leaders described the Congress's decision as an admission that Rahul Gandhi can't win Amethi, where Smriti Irani is contesting again after winning in the last Lok Sabha election.  Union Minister Anurag Thakur used Rahul Gandhi's own words to mock him; the Congress leader has often said, ""Daro Mat (don't be afraid)"" to accuse the BJP government of using probe agencies to terrorise critics.        ",144,congress gandhi mat pm rahul
London Mayor Polls News | UK Local Elections: What Is At Stake? NDTV's Radhika Iyer Reports,Millions of voters in England and Wales have cast ballots in an array of local elections.  This is the last big test before a U.K. general election that all indicators so far suggest will see the Conservative Party ousted from power after 14 years. Londoners also voted for their next mayor after polls opened. NDTV's Radhika Iyer joins us from London to highlight the implications of these elections.         ,145,elections iyer local london ndtv
"Congress Amethi Candidate News | Will Rahul Gandhi, Priyanka Gandhi Vadra Contest From UP?","Congress's Rahul Gandhi may contest from family bastion Raebareli – the seat vacated recently by his mother Sonia Gandhi -- and the party could field senior leader and longtime Gandhi family loyalist KL Sharma from Amethi, sources have told NDTV. The Gandhi siblings were told to take a call on contesting from the two VIP seats in Uttar Pradesh by Thursday night. But the party is yet to make a formal announcement. Friday is the last date for filing of nomination. At a meeting with Rahul Gandhi on Thursday evening, Congress chief Mallikarjun Kharge had suggested that both siblings contest from the two bastions held for decades by the family, but left the final decision to them in view of their ""knowledge of the ground reality"" in the state.  KL Sharma is one of the close aides of the Gandhi family and represented Sonia Gandhi in the constituency when she was its MP. Mrs Gandhi has now moved onto the Rajya Sabha, leaving a vacuum in which Priyanka Gandhi Vadra was expected to step in.          ",146,congress contest family gandhi rahul
"Delhi News Today | Lt Governor Sacks 223 From Delhi Women Panel, AAP's Swati Maliwal Replies","In a major crackdown, Delhi Lieutenant Governor VK Saxena has removed 223 employees of the capital's women commission. AAP MP Swati Maliwal, it is alleged, made the appointments during her term as chairperson of Delhi Commission for Women in violation of the rules.           ",147,commission delhi governor swati women
"Brij Bhushan Singh News | BJP Drops Brij Bhushan Amid Sexual Harassment Charge, Fields His Son","The BJP's heavyweight MP and former wrestling boss Brij Bhushan Sharan Singh won't be contesting the Lok Sabha polls this time. The BJP has instead named his son Karan Bhushan Singh as its candidate from Uttar Pradesh's Kaiserganj.  The announcement, made this afternoon, puts a lid on the speculation surrounding the Kaiserganj seat and its high-profile MP.           ",148,bhushan bjp brij mp singh
Telangana News | Election Commission Increases Polling Time In Telangana Due To Heatwave,"In the wake of heatwave conditions prevailing in the state, the Election Commission of India (ECI) has extended the polling hours in various assembly segments of Telangana for the Lok Sabha elections scheduled on May 13.    Sabha elections LokSabhaElections2024     ",149,commission election elections heatwave telangana
"Amethi Latest News | Congress Picks For Amethi, Raebareli To Be Announced","The suspense over the Congress's candidates for the Amethi and Raebareli Lok Sabha constituencies in Uttar Pradesh is set to end today, just one day before the nomination deadline. Congress president Mallikarjun Kharge is expected to announce the candidates for the two seats today.  Speculation has been rife regarding the candidature of former party president Rahul Gandhi and Congress General Secretary Priyanka Gandhi Vadra for Amethi and Raebareli, respectively. Rahul Gandhi, who faced an unexpected defeat in Amethi to BJP's Smriti Irani in 2019, is expected to contest from there again, possibly alongside his current constituency, Kerala's Wayanad.  For Raebareli, held by Sonia Gandhi since 2004, Priyanka Gandhi Vadra's entry into electoral politics is anticipated, however, discussions within the party suggest a hesitancy towards fielding all three Gandhi family members in parliament, considering the ""dynastic politics"" charge that the party is often subjected to by the BJP.        ",150,amethi congress gandhi party raebareli
Supreme Court News | Are Private Properties A Community Resource? 9-Judge Top Court Bench To Decide,"A nine-judge Supreme Court bench reserved its verdict on Wednesday on a vexed legal question that whether private properties can be considered ""material resources of the community"" under Article 39(b) of the Constitution and consequently, taken over by State authorities to subserve the ""common good"".        ",151,bench community court judge supreme
Abortion Law Arizona News | Arizona Senate Votes To Repeal 1864-Era Abortion Ban,"The Arizona Senate has voted to repeal the state's Civil War-era abortion ban, with two Republicans crossing party lines to overturn the measure. It's a rare example of lawmakers responding to mounting public outrage over near-total abortion bans since Roe v. Wade was overturned nearly two years ago. The bill now goes to Democratic governor Katie Hobbs, who said she'll sign it into law.         ",152,abortion arizona ban repeal senate
Karnataka News | All About Karnataka's Ballari Constituency,"The land of the Reddy Brothers will see a closely contested election. In Karnataka's Ballari, BJP's B Sriramulu is trying to ensure he is not pushed to political oblivion, while Congress' E Tukaram is trying to break the BJP fort. NDTV's Pratiba Raman reports.         ",153,ballari bjp karnataka sriramulu trying
"NDTV Marathi Launched, Eknath Shinde, Devendra Fadnavis Attend Event","NDTV today launched a new regional channel , NDTV Marathi, to provide trustworthy news and information to the people of Maharashtra. The launch event was attended by Maharashtra Chief Minister Eknath Shinde and Deputy Chief Minister Devendra Fadnavis.         ",154,chief devendra launched ndtv shinde
Karnataka Sex Scandal | Cancel Diplomatic Passport Of Prajwal Revanna: Siddaramaiah To PM Modi,"Karnataka Chief Minister Siddaramaiah on Wednesday wrote to Prime Minister Narendra Modi urging him to take action to cancel the diplomatic passport of Prajwal Revanna, Janata Dal (Secular) MP, who is said to have flown to Europe after being accused of sexually exploiting several women.           ",155,cancel passport prajwal revanna siddaramaiah
"Dimple Yadav Interview | Dimple Yadav Exclusive: ""Never Imagined That I'd Enter Politics""","Dimple Yadav, three-time MP and wife of Samajwadi Party chief Akhilesh Yadav, is contesting for the fourth time, defending the family bastion of Mainpuri. The 46-year-old, who had married into a political family back in 1999, told NDTV today that she has grown into the role.        ",156,1999 dimple family time yadav
Godrej Family Announces Split After 127 Years: Who Gets What,"The founding family of 127-year-old Godrej Group, which spans from soaps and home appliances to real estate, has reached an agreement to split the conglomerate, with Adi Godrej and his brother Nadir keeping Godrej Industries that has five listed firms, while cousins Jamshyd and Smita getting unlisted Godrej & Boyce and its affiliates as well as a land bank, including prime property in Mumbai.         ",157,127 family godrej keeping split
"US Presidential Elections | Top Headlines From Across The Globe: May 1, 2024","Biden and Trump have both secured the delegates they need to win their respective party nominations in the November 5 presidential race, setting a rematch of their 2020 election showdown.      ",158,2020 presidential secured setting showdown
BJP Manifesto | Amit Shah Fires Fresh Salvo At Congress Manifesto,"Home Minister Amit Shah today attacked the Congress over its manifesto, calling it against the spirit of the Indian constitution. Why is the Congress manifesto the centre of the political debate this time?            ",159,amit congress manifesto shah spirit
"Israel Gaza Latest News | Netanyahu, Israeli Officials Face Potential Arrest Warrants By World Court",Israel Prime Minister Benjamin Netanyahu could be facing arrest warrants from the International Criminal Court on various charges linked to the Israel-Hamas war in Gaza. Reports suggest that Israeli Defence Minister Yoav Gallant and senior military officials of Israel's Defense Forces are also on the ICC radar.       ,160,arrest court israel israeli warrants
"Amit Shah Press Conference | Amit Shah Slams Congress For Doctored Clip, Plays Real And Fake Videos","Amit Shah Latest Speech: Home Minister Amit Shah today launched a frontal assault on the Congress after a deep-fake video of him saying he would remove reservations went viral. A Congress worker, Reetam Singh, from Assam's Guwahati was arrested yesterday for allegedly making and sharing the deep-fake video of the Home Minister. The deep-fake video showed Mr Shah talking about scrapping all reservations, while he was actually referring to removing quota only for Muslims on religious grounds in Telangana. The BJP had scrapped such a quota in Karnataka before it lost power to the Congress.  ",161,amit congress deep fake shah
Prajwal Revanna News | JD(S) To Suspend Deve Gowda's Grandson Over Sex Scandal: HD Kumaraswamy,"Karnataka MP Prajwal Revanna is likely to be expelled by his grandfather and former prime minister HD Deve Gowda's party over explicit videos allegedly showing him sexually assaulting multiple women. The Janata Dal (Secular), which is an alliance with the BJP in the ongoing Lok Sabha elections, will likely decide on this at a core committee meeting of the party in Hubbali at 10 am. Prajwal has denied the allegations and claimed in a police complaint that the videos being circulated are doctored.  JD(S) leader HD Kumaraswamy, former chief minister and Prajwal's uncle, said yesterday the party has already decided to suspend his nephew. ""A decision was already made. Tomorrow it is to be recommended at the core committee meeting in Hubballi. Because he is a Member of Parliament, it has to be done from Delhi,"" Mr Kumaraswamy claimed.        ",162,hd kumaraswamy minister party prajwal
"Lok Sabha Elections 2024 | Not Fear, But Modi Factor Attracting Leaders To Party: MP BJP Chief","The Congress party today lost its second Lok Sabha candidate within days, just before voting in the seat. Akshay Bam, the Congress candidate in Madhya Pradesh's Indore, dropped out of the race and joined the BJP today. Madhya Pradesh BJP chief VD Sharma spoke to NDTV on the Indore episode of congress candidate withdrawing his nomination.         ",163,bjp candidate congress lok party
Karnataka Sex Scandal | Karnataka MP Prajwal Revanna Faces Probe Over Alleged Sexual Abuse Of Women,"A case has been filed against Karnataka MP Prajwal Revanna amid a row over explicit videos - allegedly showing the him sexually assaulting multiple women. The video clips, allegedly involving Prajwal Revanna, surfaced on social media a day after he voted on April 26 in Phase 2 of the elections. Prajwal Revanna - grandson of JDS chief and former Prime Minister HD Deve Gowda - has, however, denied the allegations and filed a complaint claiming that the videos being circulated are doctored. Meanwhile, HD Revanna has reacted calling the videos 4-5 years old...and alleging a conspiracy. HD Revanna, the father of Karnataka MP Prajwal Revanna, has accused rivals of creating a conspiracy out of ""old videos"".         ",164,hd karnataka prajwal revanna videos
"BJP Worker Attacked In Kolkata, Party Blames Trinamool Congress","A BJP worker in Kolkata alleged she was attacked with sharp weapons by several workers from the ruling Trinamool Congress today. Saraswati Sarkar, the president of the BJP Mahila Mandal's unit in south Kolkata's Kasba, was reportedly putting up election posters with other party workers when she was allegedly attacked, she said. Visuals from the spot showed Ms Sarkar holding her head as blood streamed down her face.          ",165,attacked bjp kolkata worker workers
Revanth Reddy | Telangana CM On Delhi Police Notice Over 'Fake Video' Of Amit Shah On Reservation,"Telangana Chief Minister A Revanth Reddy has been summoned by the Delhi Police on Wednesday in connection with a doctored video of Home Minister Amit Shah. Four other people, all from Telangana, have also been served notices to join the enquiry into the case. Snubbing the summons, Mr Reddy alleged that the Delhi cops are ""new tool for the BJP"". ""They have been using the CBI and ED (Enforcement Directorate), now they are using the Delhi Police. But, we won't be scared by anyone,"" he said in a dig at the BJP.  The video was allegedly shared by the official X handle of Telangana Congress, after which many party leaders reposted the video, claiming it showed the BJP's ""agenda to abolish SC/ST reservation quotas"".         ",166,bjp delhi police telangana video
BYD Seal Review | NDTV Auto | First Drive Review | BYD Seal - Electrification Meets Exhiliration,"With its sleek design, cutting-edge technology, and eco-friendly performance, the BYD Seal is more than just a car, it's a statement of sustainability. Discover a revolutionary electric vehicle designed to redefine city commuting and giving you that edge when you want to get that adrenaline rush, all of that in an ELECTRIC coupe styled sedan.        ",167,byd edge electric review seal
Pro Palestine Protests | Hundreds Arrested As Pro-Palestine Protests In US Universities Continue,Pro-Palestinian protests at US universities continue nationwide as students continue to oppose the US' role on the war in Gaza. Hundreds of students have been arrested at these protests.         ,168,arrested continue hundreds pro protests
"Cerelac Crisis | ""A Baby Addicted To Sugar Will Not Have Other Food"": Top Doctor Amid Cerelac Row","While speaking on NDTV's We The People, pediatrician Neelam Mohan highlighted the need to avoid feeding infants food that is high in sugar because of how addictive it is as well as its lack of nutritional value.          ",169,addicted cerelac food speaking sugar
Arvinder Singh Lovely News | High-Profile Resignation Rocks Congress Party,"Arvinder Singh Lovely, who stepped down from the post of the Delhi Congress chief earlier today, has clarified today that he is not joining any party. Mr Lovely said he has not resigned the primary membership of the Congress and only stepped down from the post as a mark of protest against the tie-up with Arvind Kejriwal's Aam Aadmi Party.       ",170,congress lovely party stepped today
"Aam Aadmi Party News | Citing Ajit Pawar Case, AAP Points To BJP's ""Washing Machine""","Alleging that politicians accused of corruption when they join BJP are quickly absolved of the charges, the AAP ran a campaign displaying the ""clean washing machine of the BJP"". The party cited the examples of Himanta Biswa Sarma and Ajit Pawar. Cabinet Minister Saurabh Bharadwaj, along with Lok Sabha Candidate Somnath Bharti, showed BJP's magic. They put corrupt opposition leaders inside the machine, and took out corruption-free BJP leaders from the other side.          ",171,aap bjp leaders machine washing
NDTV Election Carnival | Will Congress be able to challenge BJP in its stronghold Gujarat?,"NDTV's special program 'NDTV Election Carnival' reached Vadodara on Saturday after passing through many states. Amid the Lok Sabha Elections (2024), the 'Carnival' has traveled to Delhi, Uttarakhand, Uttar Pradesh, Bihar, Jharkhand, Chhattisgarh and Madhya Pradesh to understand the election environment and to gauge the mood of the public. This time, for the third consecutive time, the BJP is facing the challenge of clean sweep in Gujarat, while Congress is exploring the possibility of a comeback.         ",172,carnival election gujarat ndtv pradesh
"Lok Sabha Elections 2024: Congress Wants Muslim Votes, Not Candidates?, Internal Rift Out In Public","Maharashtra Congress leader Muhammed Arif 'Naseem' Khan has stepped down from the party's campaign committee, expressing displeasure over the party not nominating any Muslim leader in the state. He wrote a letter to party chief Mallikarjun Kharge stating that he won't campaign for the Lok Sabha elections as the Opposition Maha Vikas Aghadi (MVA) bloc had not fielded a Muslim candidate.         ",173,campaign leader lok muslim party
Asaduddin Owaisi News | Asaduddin Owaisi Campaigns In Hyderabad's Yakutpura Assembly Constituency,"Asaduddin Owaisi Door-to-Door Campaign: AIMIM president and Lok Sabha candidate from Hyderabad, Asaduddin Owaisi on Saturday held a door-to-door campaign in his parliamentary constituency.  Owaisi was greeted and seen interacting with the local residents of Yakutpura Assembly constituency in Hyderabad.  BJP's Madhavi Latha is set to take on AIMIM chief Asaduddin Owaisi and Congress' Sameer Waliullah in the Hyderabad constituency.  Elections for 17 Lok Sabha seats in Telangana will be held on May 13.          ",174,asaduddin constituency door hyderabad owaisi
Supreme Court On EVM | Fight Against EVM (Voting Machine) Is Long: Akhilesh Yadav,"Speaking to the media after a public rally in Kasganj Lok Sabha, Samajwadi Party chief Akhilesh Yadav said that the ""fight against EVM is long"". SP chief's reaction comes after Supreme Court on Friday rejected all the petitions seeking 100 per cent verification of Electronic Voting Machines (EVMs) votes with their Voter Verifiable Paper Audit Trail (VVPAT) slips. He said, ""The fight against EVM is long. We respect the verdict of the Supreme Court but we will continue to fight. Many countries in the world consider it unconstitutional to vote through EVM. Germany is a country more advanced than us and it doesn't vote through EVM. Speeches of BJP leaders are reflecting the trends that they are going to lose. BJP wants to escape from the questions of inflation and unemployment. BJP is in the fight in one constituency in UP, rest 79 are going to be won by the INDIA alliance.""           ",175,bjp evm fight long supreme
"Rajasthan Election News | ""BJP Will Win Again"": Vasundhara Raje Casts Her Vote In Jhalawar","Rajasthan Lok Sabha Elections 2024: Bharatiya Janata Party National Vice-president Vasundhara Raje cast her vote in the second phase of Lok Sabha Elections on Friday. She cast her vote at a polling booth in Jhalawar. BJP has fielded Dushyant Singh from the Jhalawar-Baran Parliamentary constituency. Rajasthan is voting on 13 seats today in the second phase of Lok Sabha Elections. ""I feel, that with the kind of voting we are seeing this time, BJP will win again and Narendra Modi will become the Prime Minister again. In this constituency, our candidate Dushyant Singh has received good support and he will have a historic win,"" said Vasundhara Raje.                      ",176,bjp rajasthan vasundhara vote win
Lok Sabha Elections 2024 Phase 2 Voting On 88 Seats Today | Top Headlines Of The Day: April 26,"Voting has begun in 88 constituencies across 13 states and Union Territories amid a furious row between the Congress and the BJP over manifesto and inheritance tax. Election will be held on all seats of Kerala, a chunk of Rajasthan and UP.                      ",177,88 seats territories today voting
Khalistan News | Accused In Pro-Khalistani Attack On Indian Mission In London Arrested | Top News,"In a big development in the investigation into last year's attack on the High Commission of India in London and the protests that followed, a key accused has been arrested by the National Investigation Agency.         ",178,accused arrested attack london news
Delhi Mayoral Elections | AAP Minister's Big Charge Against Centre Over Delhi Mayoral Polls,"The Centre is plotting a new conspiracy before the Delhi mayoral elections so that polls either don't happen or even if they do, are conducted dishonestly, AAP leader and Delhi Minister Saurabh Bharadwaj said. ""The BJP's central government wants to play the same game in Delhi as they did in the Chandigarh mayoral elections by manipulating the Presiding Officer. The Chief Secretary did not send the file of the Presiding Officer to the Delhi Minister but directly to the Lt Governor's office,"" he said.        ",179,aap delhi elections mayoral minister
"Calcutta High Court News | Mamata Banerjee's Message After 26,000 Teachers Lose Jobs: ""Not 1 Vote""","Mamata Banerjee News | West Bengal Chief Minister Mamata Banerjee's response to the Calcutta High Court order scrapping the job of 26,000 teachers, was a resounding election message. ""Not one vote for the BJP or CPM or Congress, not from teachers, not from any government worker,"" the Chief Minister thundered today.        ",180,banerjee high mamata news teachers
Akhilesh Yadav Latest News | Akhilesh Yadav To Contest Lok Sabha Polls From UP's Kannauj,"Samajwadi Party chief Akhilesh Yadav will contest the 2024 Lok Sabha election from Uttar Pradesh's Kannauj - the seat that sent him to Parliament thrice and also voted for his wife, Dimple Yadav, and Mulayam Singh Yadav, the late SP patriarch - his party said Wednesday in a post on X.        ",181,akhilesh kannauj lok party yadav
"US Warns Pakistan Over Iran Ties, China Losing Grip In Indo-Pacific, Gaza Ceasefire At A Standstill","In today's episode of India Global, the US has threatened to impose sanctions on Pakistan for considering trade deals with Iran. NDTV speaks to strategic affairs expert Brahma Chellaney on how these sanctions could impact Pakistan. In the Indo-Pacific, pro-China PM Manasseh Sogavare loses the majority in parliamentary elections in the Solomon Islands. NDTV speaks to geopolitical analyst Don McLain Gill on whether China could be losing on its grip on the island nation.  Iran President,Ebrahim Raisi,Pakistani Prime Minister,Shehbaz Sharif,US,NDTVWorld,India Global  ",182,china grip iran ndtv pakistan
Jyotiraditya Scindia | Lok Sabha Elections: Politics Meets History In The Guna Game,"Guna goes to the polls on the 7th of May. In the hot, arid Guna constituency where Civil aviation minister Jyotiraditya Scindia is contesting polls, the political fortunes of all the candidates are still being shaped. Does the erstwhile royal family continue to hold sway over voters in the region or will the Congress be able to fight off Jyotiraditya Scindia's narrative?         ",183,guna hold jyotiraditya polls scindia
Chandrababu Election Campaign | Exclusive: Chandrababu Naidu On Why He Returned To NDA,"Andhra Pradesh Chief Minister YS Jagan Mohan Reddy has betrayed the people of the state and destroyed their future, his predecessor and Telugu Desam Party president N Chandrababu Naidu told NDTV in an exclusive interview on the campaign trail. Andhra Pradesh is among the four states where Assembly polls are being held alongside the general election. Mr Naidu's TDP has tied up with the BJP to take on Jagan Mohan Reddy's YSCRP, which scored a thumping win in the 2019 state polls.        ",184,chandrababu mohan naidu pradesh reddy
Sam Pitroda Controversy | Congress In Firefighting Mode Amid Row Over Sam Pitroda's Remarks,"In a stunning own goal that has pushed the Congress on the backfoot, senior party leader Sam Pitroda today stoked the debate over the BJP's allegations that the Congress is planning a redistribution of wealth. Mr Pitroda's example of an inheritance tax in the US added fuel to the fire that the Congress has been trying to douse. The Congress distanced itself from the senior leader's remarks and said they do not reflect the party's position. Congress's Jairam Ramesh said in a social media message that ""sensationalising"" Mr Pitroda's comments is aimed at ""diverting attention"" from Prime Minister Narendra Modi's ""malicious and mischievous election campaign"".        ",185,congress leader mr pitroda sam
Antony Blinken China Visit | US Secretary of State Antony Blinken heads to China,"The US Secretary of State Antony Blinken is set to reach China for three days of talks with senior Chinese officials in Shanghai and Beijing this week, with U.S.-China ties at a critical point over numerous global disputes. NDTV's Laura Westbrook joins us live from Hong Kong to shed light on the potential developments of this visit.        ",186,antony blinken china state visit
"Congress Party | Shashi Tharoor On Battle For Thiruvananthapuram: ""Campaigning Extensively""",Congress Thiruvananthapuram candidate Shashi Tharoor says he is confident that he will win for the fourth time. He said he will retain his position and BJP and CPI are fighting for the second spot.         ,187,battle congress shashi tharoor thiruvananthapuram
Rwanda Deportation Bill | UK Pushes For Rwanda Deportation Bill: What It Means For Migrants,"India Global | As the UK pushes its Rwanda Deportation Bill that aims to deport its first 300 asylum seekers, NDTV speaks with former BBC London Editor Nicholas Nugent on the bill's impact on curbing illegal immigrantion and UK PM Rishi Sunak's chances in the upcoming polls.       ",188,300 deportation pushes rwanda uk
"Turkey Proposes IMEC Counter, UK Pushes Rwanda Deportation Bill, Malaysia Helicopter Crash","India Global: In today's episode of India Global, Turkey proposes a new transport corridor as a possible counter to the India-Middle East-Europe Economic Corridor, or IMEC. NDTV's Dishha Bagchi speaks to West Asia expert Dr Waiel Awwad on how this deal impacts India. She also catches up with former BBC London editor Nicholas Nugat on UK's Rwanda Deportation Bill's impact on migrants and PM Rishi Sunak's poll chances.        ",189,corridor imec india turkey uk
"PM Modi In Raipur | PM Counters Goa Congress Candidate's Remark: ""Conspiracy To Break Nation""","Prime Minister Narendra Modi, seizing on the remarks by the Congress South Goa candidate, hit out at the party and Rahul Gandhi, accusing them of insulting BR Ambedkar's Constitution and attempting to break the country. Listen in.      ",190,break candidate congress goa pm
"PM Modi Latest Speech, Lok Sabha Elections 2024, Iran On Kashmir Issue | NDTV Podcasts","In today’s episode, Supreme Court pulls up Patanjali, the Centre, and Indian Medical Association in misleading ads case, BJP Tamil Nadu chief Annamalai booked for provocation, PM Modi doubles down on his Congress allegations a day after massive row, repeats Congress ‘wealth distribution to Muslim’ claim, Sharad Pawar’s controversial remark on PM Modi, Arvind Kejriwal and K Kavitha jail custody extended, Iran-Pakistan’s attempt to mend strained ties and Iran’s silence on Kashmir, and the new Schengen Visa Regime.            ",191,congress iran kashmir modi pm
"Ghazipur News | As AAP, BJP Spar Over Ghazipur Landfill Fire, Locals Gasp For Breath",A political slugfest erupted on Monday over the Ghazipur landfill fire incident with the BJP attacking AAP-led MCD over the blaze which left local residents gasping for breath and racked with other health issues.      ,192,aap bjp breath ghazipur landfill
"Lok Sabha Elections 2024 | On 'India Decides', The Fascinating Fight For Alappuzha","India Decides: Gods Own Country, the majestic state of Kerala, goes to polls in the second phase. All 20 seats of the state will poll in a single phase on April 26. The southern state is witnessing a fierce battle in several constituencies, including Wayanad, where former Congress chief Rahul Gandhi is taking on CPI's Annie Raja. Shashi Tharoor, a three-term MP from Thiruvananthapuram, is facing a challenger in Union Minister Rajeev Chandrashekhar. Today on India Decides, we talk about Alappuzha, where there is going to be a fascinating battle.          ",193,alappuzha decides india phase state
